transaction_id,customer_id,timestamp,amount,merchant_category,payment_method,device_type,channel,is_international,country_risk_score,card_present,hour_of_day,day_of_week,customer_age,account_tenure_days,avg_txn_amount_30d,txn_count_24h,chargeback_history_count,velocity_score,distance_from_home_km,ip_risk_score,email_age_days,failed_login_count_7d,new_device,vpn_used,proxy_used,billing_shipping_mismatch,merchant_risk_score,fraud_label
TXN100000,CUST4174,2025-09-01 08:34:00,5.55,restaurant,debit_card,mobile,online,0,21.4,0,8,0,33,748,14.85,2,1,14.21,2.5,39.3,972,0,0,0,0,0,65.2,0
TXN100001,CUST4507,2025-02-23 23:01:00,10.17,grocery,mobile_wallet,desktop,online,1,47.4,0,23,6,61,966,68.05,2,0,13.32,1.4,22.8,356,0,0,0,0,0,18.6,0
TXN100002,CUST1860,2025-06-09 03:24:00,177.92,grocery,credit_card,desktop,online,0,58.6,0,3,0,26,1097,108.65,2,0,15.53,7.9,5.6,557,0,0,0,0,0,26.5,0
TXN100003,CUST2294,2025-11-11 14:35:00,86.06,fuel,credit_card,mobile,online,0,55.7,0,14,1,66,1091,41.78,2,0,20.98,2.1,16.3,529,0,0,0,0,1,30.2,0
TXN100004,CUST2130,2025-12-18 08:00:00,24.87,fashion,debit_card,tablet,in_store,0,37.4,1,8,3,18,1359,61.4,1,0,11.9,2.1,23.3,441,0,0,0,0,0,16.9,0
TXN100005,CUST2095,2025-08-14 14:48:00,88.96,grocery,debit_card,mobile,in_store,0,12.5,1,14,3,28,837,16.54,3,0,11.74,12.3,19.7,349,0,0,0,0,0,13.4,0
TXN100006,CUST4772,2025-03-26 08:09:00,38.35,fashion,debit_card,mobile,online,0,15.8,0,8,2,36,1160,42.86,3,0,19.99,9.5,17.4,154,2,1,0,0,0,23.0,0
TXN100007,CUST4092,2025-06-28 20:51:00,98.44,restaurant,credit_card,tablet,online,0,74.4,1,20,5,47,875,60.2,2,0,25.39,14.4,46.5,558,0,0,0,0,0,6.9,0
TXN100008,CUST2638,2025-11-18 21:06:00,20.99,gaming,credit_card,mobile,online,0,24.4,0,21,1,29,731,18.53,2,1,13.31,57.6,28.0,683,1,0,0,0,0,38.1,0
TXN100009,CUST3169,2025-10-31 19:49:00,74.73,fashion,credit_card,pos_terminal,in_store,0,35.2,1,19,4,29,298,32.05,5,0,21.89,7.6,45.1,343,1,0,0,0,0,58.2,0
